S.No.,Items,Self-Assessment,Evidence
1,Video,3,"The video shows a significant delta from the prior version. The current version integrates a web application and the prior version was used via command line.

https://www.youtube.com/watch?v=b3V1MQDvrE8 "
2,Workload is spread over the whole team (one team member is often X times more productive than the others,2,"Collaborators' commit and Contributers
https://github.com/SE21-Team2/slash/commits/main


https://github.com/SE21-Team2/slash 
"
3,"But nevertheless, here is a track record that everyone is contributing a lot)",2,"Commits in Github
https://github.com/SE21-Team2/slash/commits/main

Although, the number of commits done by each developer doesnot reflect the accurate picture"
4,Number of Commits,3,"https://github.com/SE21-Team2/slash

Total number of commits - 478"
5,Number of Commits: by different people,2,"38  Tanya Chu
22  SteveJones92
9  Shikha
20  Alex Snezhko
18  pchetan

Command:git shortlog -sn --all"
6,Issues reports: there are many,2,"15 issues

https://github.com/SE21-Team2/slash/issues"
7,Issues are being closed,2,"10 closed issues

https://github.com/SE21-Team2/slash/issues"
8,DOI Badge: exists,3,"DOI Badge exists
https://github.com/SE21-Team2/slash "
9,"Docs: doco generated, format not ugly",2,"Document
https://github.com/SE21-Team2/slash"
10,Docs: what: point descriptions of each class/function (in isolation),3,"Function Description
https://github.com/SE21-Team2/slash/blob/main/docs/function_description.md


Rest API Description

https://github.com/SE21-Team2/slash/blob/main/docs/restapi_descriptions.md 
"
11,"Docs: how: for common use cases X,Y,Z mini-tutorials showing worked examples on how to do X,Y,Z",2,"Tutorial
https://www.youtube.com/watch?v=b3V1MQDvrE8"
12,"Docs: why: docs tell a story, motivate the whole thing, deliver a punchline that makes you want to rush and use the thing",3,"https://github.com/SE21-Team2/slash 
The documentation explains what Slash is about and its role in searching good deals for products on ecommerce websites"
13,"Docs: short video, animated, hosted on your repo. That convinces people why they want to work on your code.",2,"There was no animated video but they have added snapshots and explained the features of the software. They have also added a youtube video that explains the functionality. 

https://www.youtube.com/watch?v=b3V1MQDvrE8 
"
14,Use of version control tools,1,"Only release v3.0.0 is shown
https://github.com/SE21-Team2/slash/releases 

"
15,Use of style checkers,2,"pylint is present

https://github.com/SE21-Team2/slash/blob/main/.github/workflows/python-app.yml

Contributing.md file contains asks users to conform to the Google Python Style Guide  
https://github.com/SE21-Team2/slash/blob/main/CONTRIBUTING.md "
16,Use of code formatters,1,"pylint is present

https://github.com/SE21-Team2/slash/blob/main/.github/workflows/python-app.yml"
